image_name,row,col,building_count
gee_image_row18_col10.png,18,10,1
gee_image_row18_col11.png,18,11,1
gee_image_row18_col12.png,18,12,0
gee_image_row18_col13.png,18,13,1
gee_image_row18_col14.png,18,14,1
gee_image_row18_col15.png,18,15,17
gee_image_row18_col16.png,18,16,14
gee_image_row18_col17.png,18,17,18
gee_image_row18_col18.png,18,18,7
gee_image_row18_col19.png,18,19,2
gee_image_row18_col2.png,18,2,0
gee_image_row18_col20.png,18,20,1
gee_image_row18_col21.png,18,21,1
gee_image_row18_col22.png,18,22,1
gee_image_row18_col23.png,18,23,1
gee_image_row18_col24.png,18,24,0
gee_image_row18_col25.png,18,25,0
gee_image_row18_col26.png,18,26,0
gee_image_row18_col27.png,18,27,0
gee_image_row18_col28.png,18,28,0
gee_image_row18_col29.png,18,29,0
gee_image_row18_col3.png,18,3,0
gee_image_row18_col30.png,18,30,0
gee_image_row18_col4.png,18,4,0
gee_image_row18_col5.png,18,5,0
gee_image_row18_col6.png,18,6,0
gee_image_row18_col7.png,18,7,0
gee_image_row18_col8.png,18,8,6
gee_image_row18_col9.png,18,9,0
gee_image_row19_col0.png,19,0,0
gee_image_row19_col1.png,19,1,0
gee_image_row19_col10.png,19,10,0
gee_image_row19_col11.png,19,11,1
gee_image_row19_col12.png,19,12,0
gee_image_row19_col13.png,19,13,0
gee_image_row19_col14.png,19,14,0
gee_image_row19_col15.png,19,15,22
gee_image_row19_col16.png,19,16,10
gee_image_row19_col17.png,19,17,12
gee_image_row19_col18.png,19,18,10
gee_image_row19_col19.png,19,19,5
gee_image_row19_col2.png,19,2,0
gee_image_row19_col20.png,19,20,16
gee_image_row19_col21.png,19,21,0
gee_image_row19_col22.png,19,22,1
gee_image_row19_col23.png,19,23,0
gee_image_row19_col24.png,19,24,0
gee_image_row19_col25.png,19,25,0
gee_image_row19_col26.png,19,26,0
gee_image_row19_col27.png,19,27,0
gee_image_row19_col28.png,19,28,0
gee_image_row19_col29.png,19,29,0
gee_image_row19_col3.png,19,3,0
gee_image_row19_col30.png,19,30,0
gee_image_row19_col4.png,19,4,0
gee_image_row19_col5.png,19,5,0
gee_image_row19_col6.png,19,6,0
gee_image_row19_col7.png,19,7,0
gee_image_row19_col8.png,19,8,0
gee_image_row19_col9.png,19,9,2
gee_image_row1_col0.png,1,0,0
gee_image_row1_col1.png,1,1,0
gee_image_row1_col10.png,1,10,0
gee_image_row1_col11.png,1,11,0
gee_image_row1_col12.png,1,12,0
gee_image_row1_col13.png,1,13,0
gee_image_row1_col14.png,1,14,0
gee_image_row1_col15.png,1,15,0
gee_image_row1_col16.png,1,16,0
gee_image_row1_col17.png,1,17,0
gee_image_row1_col18.png,1,18,0
gee_image_row1_col19.png,1,19,0
gee_image_row1_col2.png,1,2,0
gee_image_row1_col20.png,1,20,0
gee_image_row1_col21.png,1,21,0
gee_image_row1_col22.png,1,22,0
gee_image_row1_col23.png,1,23,0
gee_image_row1_col24.png,1,24,0
gee_image_row1_col25.png,1,25,0
gee_image_row1_col26.png,1,26,0
gee_image_row1_col27.png,1,27,0
gee_image_row1_col28.png,1,28,0
gee_image_row1_col29.png,1,29,0
gee_image_row1_col3.png,1,3,0
gee_image_row1_col30.png,1,30,0
gee_image_row1_col4.png,1,4,0
gee_image_row1_col5.png,1,5,0
gee_image_row1_col6.png,1,6,0
gee_image_row1_col7.png,1,7,0
gee_image_row1_col8.png,1,8,0
gee_image_row1_col9.png,1,9,0
gee_image_row20_col0.png,20,0,0
gee_image_row20_col1.png,20,1,0
gee_image_row20_col10.png,20,10,1
gee_image_row20_col11.png,20,11,0
gee_image_row20_col12.png,20,12,0
gee_image_row20_col13.png,20,13,0
gee_image_row20_col14.png,20,14,0
gee_image_row20_col15.png,20,15,3
gee_image_row20_col16.png,20,16,1
gee_image_row20_col17.png,20,17,15
gee_image_row20_col18.png,20,18,8
gee_image_row20_col19.png,20,19,0
gee_image_row20_col2.png,20,2,0
gee_image_row20_col20.png,20,20,10
gee_image_row20_col21.png,20,21,22
gee_image_row20_col22.png,20,22,20
gee_image_row20_col23.png,20,23,0
gee_image_row20_col24.png,20,24,0
gee_image_row20_col25.png,20,25,0
gee_image_row20_col26.png,20,26,0
gee_image_row20_col27.png,20,27,0
gee_image_row20_col28.png,20,28,0
gee_image_row20_col29.png,20,29,0
gee_image_row20_col3.png,20,3,0
gee_image_row20_col30.png,20,30,0
gee_image_row20_col4.png,20,4,0
gee_image_row20_col5.png,20,5,0
gee_image_row20_col6.png,20,6,0
gee_image_row20_col7.png,20,7,0
gee_image_row20_col8.png,20,8,0
gee_image_row20_col9.png,20,9,1
gee_image_row21_col0.png,21,0,0
gee_image_row21_col1.png,21,1,0
gee_image_row21_col10.png,21,10,0
gee_image_row21_col11.png,21,11,2
gee_image_row21_col12.png,21,12,2
gee_image_row21_col13.png,21,13,0
gee_image_row21_col14.png,21,14,0
gee_image_row21_col15.png,21,15,1
gee_image_row21_col16.png,21,16,2
gee_image_row21_col17.png,21,17,3
gee_image_row21_col18.png,21,18,0
gee_image_row21_col19.png,21,19,0
gee_image_row21_col2.png,21,2,0
gee_image_row21_col20.png,21,20,1
gee_image_row21_col21.png,21,21,0
gee_image_row21_col22.png,21,22,0
gee_image_row21_col23.png,21,23,0
gee_image_row21_col24.png,21,24,0
gee_image_row21_col25.png,21,25,0
gee_image_row21_col26.png,21,26,0
gee_image_row21_col27.png,21,27,0
gee_image_row21_col28.png,21,28,0
gee_image_row21_col29.png,21,29,0
gee_image_row21_col3.png,21,3,0
gee_image_row21_col30.png,21,30,0
gee_image_row21_col4.png,21,4,0
gee_image_row21_col5.png,21,5,0
gee_image_row21_col6.png,21,6,0
gee_image_row21_col7.png,21,7,0
gee_image_row21_col8.png,21,8,0
gee_image_row21_col9.png,21,9,0
gee_image_row22_col0.png,22,0,0
gee_image_row22_col1.png,22,1,0
gee_image_row22_col10.png,22,10,0
gee_image_row22_col11.png,22,11,0
gee_image_row22_col12.png,22,12,0
gee_image_row22_col13.png,22,13,0
gee_image_row22_col14.png,22,14,0
gee_image_row22_col15.png,22,15,2
gee_image_row22_col16.png,22,16,1
gee_image_row22_col17.png,22,17,3
gee_image_row22_col18.png,22,18,0
gee_image_row22_col19.png,22,19,0
gee_image_row22_col2.png,22,2,0
gee_image_row22_col20.png,22,20,0
gee_image_row22_col21.png,22,21,0
gee_image_row22_col22.png,22,22,0
